2017-10-19 12:03:57,145 ; DEBUG ; chempiler_client ; MainThread ; User Input:
XML file: C:\Users\group\Documents\Git_repositories\Chempiler\tests\chemputer_rig_3.xml
Command file: C:\Users\group\Documents\Git_repositories\Chempiler\tests\nytol_bromination.chasm
Simulation: y
2017-10-19 12:03:57,352 ; INFO ; hardware_sim ; MainThread ; Received Pump "pump_solvents" Address: 192.168.1.13
2017-10-19 12:03:57,352 ; INFO ; hardware_sim ; MainThread ; Received Pump "pump_reagents_2" Address: 192.168.1.12
2017-10-19 12:03:57,352 ; INFO ; hardware_sim ; MainThread ; Received Pump "pump_aqueous" Address: 192.168.1.16
2017-10-19 12:03:57,353 ; INFO ; hardware_sim ; MainThread ; Received Pump "pump_workup" Address: 192.168.1.15
2017-10-19 12:03:57,354 ; INFO ; hardware_sim ; MainThread ; Received Valve "six-valve_solvents" Address: 192.168.1.19
2017-10-19 12:03:57,354 ; INFO ; hardware_sim ; MainThread ; Received Valve "six-valve_reactor_valve" Address: 192.168.1.20
2017-10-19 12:03:57,354 ; INFO ; hardware_sim ; MainThread ; Received Valve "six-valve_reagents_2" Address: 192.168.1.18
2017-10-19 12:03:57,354 ; INFO ; hardware_sim ; MainThread ; Received Valve "six-valve_reagents_1" Address: 192.168.1.17
2017-10-19 12:03:57,354 ; INFO ; hardware_sim ; MainThread ; Received Valve "six-valve_aqueous" Address: 192.168.1.22
2017-10-19 12:03:57,355 ; INFO ; hardware_sim ; MainThread ; Received Pump "pump_reagents_1" Address: 192.168.1.11
2017-10-19 12:03:57,355 ; INFO ; hardware_sim ; MainThread ; Received Pump "pump_reactor" Address: 192.168.1.14
2017-10-19 12:03:57,355 ; INFO ; hardware_sim ; MainThread ; Received Valve "six-valve_workup_valve" Address: 192.168.1.21
2017-10-19 12:03:57,456 ; INFO ; hardware_sim ; MainThread ; Received IKARET Port: COM11
2017-10-19 12:03:57,456 ; INFO ; hardware_sim ; MainThread ; Received IKARET Port: COM10
2017-10-19 12:04:08,584 ; INFO ; hardware_sim ; MainThread ; Recevied IKARV port: COM4
2017-10-19 12:04:08,584 ; INFO ; hardware_sim ; MainThread ; IKARV - Initialising
2017-10-19 12:04:08,585 ; INFO ; hardware_sim ; MainThread ; Received CVC3000 port: COM3
2017-10-19 12:04:08,585 ; INFO ; hardware_sim ; MainThread ; CVC3K - Initialising
2017-10-19 12:04:13,546 ; INFO ; chempiler ; MainThread ; 

*** Starting simulated command procedure... ***

2017-10-19 12:04:13,547 ; INFO ; hardware_sim ; Thread-6 ; IKARV - Starting Rotations
2017-10-19 12:04:13,547 ; INFO ; cmd_execution ; MainThread ; Waiting for 300 seconds...
2017-10-19 12:04:13,547 ; INFO ; cmd_execution ; Thread-7 ; WAIT - Waiting for 300
2017-10-19 12:04:13,548 ; INFO ; hardware_sim ; MainThread ; IKARV - Stopping roations
2017-10-19 12:04:13,548 ; INFO ; cmd_execution ; MainThread ; Moving 20.0mL from rotavap_rv_top to reactor_reactor at 20mL/min...
2017-10-19 12:04:13,549 ; INFO ; pump_execution ; MainThread ; Following path: ['rotavap_rv_top', 'six-valve_reactor_valve', 'reactor_reactor']
2017-10-19 12:04:13,549 ; INFO ; pump_execution ; MainThread ; *** VOLUME TO MOVE: 20.0 ***
2017-10-19 12:04:13,549 ; INFO ; hardware_sim ; MainThread ; Valve "six-valve_reactor_valve" - Moving to position 5
2017-10-19 12:04:13,550 ; INFO ; hardware_sim ; MainThread ; Valve "six-valve_reactor_valve" - Waiting until ready...
2017-10-19 12:04:13,550 ; INFO ; hardware_sim ; MainThread ; Pump "pump_reactor" - Moving absolute. Volume: 20.0 Speed: 20
2017-10-19 12:04:13,550 ; INFO ; hardware_sim ; MainThread ; Pump "pump_reactor" - Waiting until ready...
2017-10-19 12:04:13,550 ; INFO ; hardware_sim ; MainThread ; Valve "six-valve_reactor_valve" - Moving to position 0
2017-10-19 12:04:13,551 ; INFO ; hardware_sim ; MainThread ; Valve "six-valve_reactor_valve" - Waiting until ready...
2017-10-19 12:04:13,551 ; INFO ; hardware_sim ; MainThread ; Pump "pump_reactor" - Moving absolute. Volume: 0 Speed: 20
2017-10-19 12:04:13,551 ; INFO ; hardware_sim ; MainThread ; Pump "pump_reactor" - Waiting until ready...
2017-10-19 12:04:13,551 ; INFO ; pump_execution ; MainThread ; *** VOLUME LEFT TO MOVE: 0 ***
2017-10-19 12:04:13,551 ; INFO ; cmd_execution ; MainThread ; Moving 10.0mL from flask_xylene to rotavap_rv_top at 20mL/min...
2017-10-19 12:04:13,552 ; INFO ; pump_execution ; MainThread ; Following path: ['flask_xylene', 'six-valve_reagents_1', 'six-valve_reagents_2', 'six-valve_solvents', 'six-valve_reactor_valve', 'rotavap_rv_top']
2017-10-19 12:04:13,552 ; INFO ; pump_execution ; MainThread ; *** TOTAL VOLUME TO MOVE: 10.0 ***
2017-10-19 12:04:13,553 ; INFO ; pump_execution ; MainThread ; Setting up source
2017-10-19 12:04:13,553 ; INFO ; pump_execution ; MainThread ; Source valve: six-valve_reagents_1
2017-10-19 12:04:13,553 ; INFO ; pump_execution ; MainThread ; Source dict: {'source': '0', 'dest': '1'}
2017-10-19 12:04:13,554 ; INFO ; pump_execution ; MainThread ; Setting up target
2017-10-19 12:04:13,554 ; INFO ; pump_execution ; MainThread ; Target valve: six-valve_reagents_2
2017-10-19 12:04:13,554 ; INFO ; pump_execution ; MainThread ; Target dict: {'source': '2', 'dest': '1'}
2017-10-19 12:04:13,554 ; INFO ; hardware_sim ; MainThread ; Valve "six-valve_reagents_1" - Moving to position 0
2017-10-19 12:04:13,555 ; INFO ; hardware_sim ; MainThread ; Valve "six-valve_reagents_1" - Waiting until ready...
2017-10-19 12:04:13,555 ; INFO ; hardware_sim ; MainThread ; Pump "pump_reagents_1" - Moving absolute. Volume: 10.0 Speed: 20
2017-10-19 12:04:13,556 ; INFO ; hardware_sim ; MainThread ; Pump "pump_reagents_1" - Waiting until ready...
2017-10-19 12:10:59,757 ; DEBUG ; chempiler_client ; MainThread ; User Input:
XML file: C:\Users\group\Documents\Git_repositories\Chempiler\tests\chemputer_rig_3.xml
Command file: C:\Users\group\Documents\Git_repositories\Chempiler\tests\nytol_bromination.chasm
Simulation: y
2017-10-19 12:10:59,903 ; INFO ; hardware_sim ; MainThread ; Received Valve "six-valve_workup_valve" Address: 192.168.1.21
2017-10-19 12:10:59,904 ; INFO ; hardware_sim ; MainThread ; Received Pump "pump_reagents_2" Address: 192.168.1.12
2017-10-19 12:10:59,904 ; INFO ; hardware_sim ; MainThread ; Received Valve "six-valve_reagents_1" Address: 192.168.1.17
2017-10-19 12:10:59,904 ; INFO ; hardware_sim ; MainThread ; Received Pump "pump_reactor" Address: 192.168.1.14
2017-10-19 12:10:59,905 ; INFO ; hardware_sim ; MainThread ; Received Pump "pump_reagents_1" Address: 192.168.1.11
2017-10-19 12:10:59,905 ; INFO ; hardware_sim ; MainThread ; Received Valve "six-valve_aqueous" Address: 192.168.1.22
2017-10-19 12:10:59,905 ; INFO ; hardware_sim ; MainThread ; Received Pump "pump_workup" Address: 192.168.1.15
2017-10-19 12:10:59,905 ; INFO ; hardware_sim ; MainThread ; Received Valve "six-valve_solvents" Address: 192.168.1.19
2017-10-19 12:10:59,905 ; INFO ; hardware_sim ; MainThread ; Received Valve "six-valve_reactor_valve" Address: 192.168.1.20
2017-10-19 12:10:59,906 ; INFO ; hardware_sim ; MainThread ; Received Pump "pump_aqueous" Address: 192.168.1.16
2017-10-19 12:10:59,906 ; INFO ; hardware_sim ; MainThread ; Received Valve "six-valve_reagents_2" Address: 192.168.1.18
2017-10-19 12:10:59,906 ; INFO ; hardware_sim ; MainThread ; Received Pump "pump_solvents" Address: 192.168.1.13
2017-10-19 12:11:00,006 ; INFO ; hardware_sim ; MainThread ; Received IKARET Port: COM10
2017-10-19 12:11:00,007 ; INFO ; hardware_sim ; MainThread ; Received IKARET Port: COM11
2017-10-19 12:11:00,108 ; INFO ; hardware_sim ; MainThread ; Recevied IKARV port: COM4
2017-10-19 12:11:00,108 ; INFO ; hardware_sim ; MainThread ; IKARV - Initialising
2017-10-19 12:11:00,108 ; INFO ; hardware_sim ; MainThread ; Received CVC3000 port: COM3
2017-10-19 12:11:00,109 ; INFO ; hardware_sim ; MainThread ; CVC3K - Initialising
2017-10-19 12:11:00,210 ; INFO ; chempiler ; MainThread ; 

*** Starting simulated command procedure... ***

2017-10-19 12:11:00,211 ; INFO ; hardware_sim ; Thread-6 ; IKARV - Starting Rotations
2017-10-19 12:11:00,211 ; INFO ; cmd_execution ; MainThread ; Waiting for 300 seconds...
2017-10-19 12:11:00,212 ; INFO ; cmd_execution ; Thread-7 ; WAIT - Waiting for 300
2017-10-19 12:11:00,213 ; INFO ; hardware_sim ; MainThread ; IKARV - Stopping roations
2017-10-19 12:11:00,213 ; INFO ; cmd_execution ; MainThread ; Moving 20.0mL from rotavap_rv_top to reactor_reactor at 20mL/min...
2017-10-19 12:11:00,214 ; INFO ; pump_execution ; MainThread ; Following path: ['rotavap_rv_top', 'six-valve_reactor_valve', 'reactor_reactor']
