2018-01-23 18:06:16,773 ; DEBUG ; chempiler_client ; MainThread ; User Input:
XML file: C:\Users\group\Documents\Chempiler\graph\chemputer_rig_2.graphml
Command file: C:\Users\group\Documents\Chempiler\tests\rufinamide_test.chasm
Simulation: n
2018-01-23 18:06:16,914 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Clear errors DONE.
2018-01-23 18:06:16,914 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Actuation SUCCESS!
2018-01-23 18:06:16,929 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Clear errors DONE.
2018-01-23 18:06:16,929 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Actuation SUCCESS!
2018-01-23 18:06:16,929 ; DEBUG ; Chemputer_Device_API ; valve_aqueous TCP thread ; Clear errors DONE.
2018-01-23 18:06:16,945 ; DEBUG ; Chemputer_Device_API ; valve_aqueous TCP thread ; Actuation SUCCESS!
2018-01-23 18:06:16,945 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Clear errors DONE.
2018-01-23 18:06:16,945 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Actuation SUCCESS!
2018-01-23 18:06:17,633 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Move DONE
2018-01-23 18:06:17,695 ; DEBUG ; Chemputer_Device_API ; valve_aqueous TCP thread ; Move DONE
2018-01-23 18:06:17,992 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Move DONE
2018-01-23 18:06:18,008 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Move DONE
2018-01-23 18:06:18,445 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Actuation SUCCESS!
2018-01-23 18:06:18,445 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Actuation SUCCESS!
2018-01-23 18:06:18,445 ; DEBUG ; Chemputer_Device_API ; valve_aqueous TCP thread ; Actuation SUCCESS!
2018-01-23 18:06:18,445 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Actuation SUCCESS!
2018-01-23 18:06:18,445 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Move DONE
2018-01-23 18:06:18,445 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Move DONE
2018-01-23 18:06:18,445 ; DEBUG ; Chemputer_Device_API ; valve_aqueous TCP thread ; Move DONE
2018-01-23 18:06:18,445 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Move DONE
2018-01-23 18:06:18,883 ; DEBUG ; Chemputer_Device_API ; pump_reagents_2 TCP thread ; Clear errors DONE.
2018-01-23 18:06:18,898 ; DEBUG ; Chemputer_Device_API ; pump_reagents_2 TCP thread ; Actuation SUCCESS!
2018-01-23 18:06:18,898 ; DEBUG ; Chemputer_Device_API ; pump_reactor TCP thread ; Clear errors DONE.
2018-01-23 18:06:18,898 ; DEBUG ; Chemputer_Device_API ; pump_reactor TCP thread ; Actuation SUCCESS!
2018-01-23 18:06:18,914 ; DEBUG ; Chemputer_Device_API ; pump_aqueous TCP thread ; Clear errors DONE.
2018-01-23 18:06:18,914 ; DEBUG ; Chemputer_Device_API ; pump_aqueous TCP thread ; Actuation SUCCESS!
2018-01-23 18:06:18,914 ; DEBUG ; Chemputer_Device_API ; pump_solvents TCP thread ; Clear errors DONE.
2018-01-23 18:06:18,929 ; DEBUG ; Chemputer_Device_API ; pump_solvents TCP thread ; Actuation SUCCESS!
2018-01-23 18:06:22,898 ; DEBUG ; Chemputer_Device_API ; pump_reactor TCP thread ; DONE. New home reading is 624
2018-01-23 18:06:22,898 ; DEBUG ; Chemputer_Device_API ; pump_reactor TCP thread ; Homing DONE.
2018-01-23 18:06:22,930 ; DEBUG ; Chemputer_Device_API ; pump_solvents TCP thread ; DONE. New home reading is 584
2018-01-23 18:06:22,930 ; DEBUG ; Chemputer_Device_API ; pump_solvents TCP thread ; Homing DONE.
2018-01-23 18:06:22,945 ; DEBUG ; Chemputer_Device_API ; pump_reagents_2 TCP thread ; DONE. New home reading is 602
2018-01-23 18:06:22,945 ; DEBUG ; Chemputer_Device_API ; pump_reagents_2 TCP thread ; Homing DONE.
2018-01-23 18:06:22,961 ; DEBUG ; Chemputer_Device_API ; pump_aqueous TCP thread ; DONE. New home reading is 604
2018-01-23 18:06:22,961 ; DEBUG ; Chemputer_Device_API ; pump_aqueous TCP thread ; Homing DONE.
2018-01-23 18:06:25,461 ; DEBUG ; chempiler ; MainThread ; Parsing ChASM file. Command stack:
2018-01-23 18:06:25,539 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_sodium_azide', 'reactor_reactor', '5', '20']
2018-01-23 18:06:25,586 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_water', 'reactor_reactor', '5']
2018-01-23 18:06:25,820 ; DEBUG ; chempiler ; MainThread ; ['S', 'SET_STIR_RPM', 'reactor_reactor', '400']
2018-01-23 18:06:25,914 ; DEBUG ; chempiler ; MainThread ; ['S', 'START_STIR', 'reactor_reactor']
2018-01-23 18:06:25,945 ; DEBUG ; chempiler ; MainThread ; ['S', 'SET_TEMP', 'reactor_reactor', '75']
2018-01-23 18:06:26,008 ; DEBUG ; chempiler ; MainThread ; ['S', 'START_HEAT', 'reactor_reactor']
2018-01-23 18:06:26,054 ; DEBUG ; chempiler ; MainThread ; ['S', 'WAIT', '60']
2018-01-23 18:06:26,086 ; DEBUG ; chempiler ; MainThread ; ['S', 'STOP_HEAT', 'reactor_reactor']
2018-01-23 18:06:26,148 ; DEBUG ; chempiler ; MainThread ; ['S', 'WAIT', '60']
2018-01-23 18:06:26,258 ; DEBUG ; chempiler ; MainThread ; ['S', 'STOP_STIR', 'reactor_reactor']
2018-01-23 18:06:26,304 ; DEBUG ; chempiler ; MainThread ; ['S', 'BREAKPOINT']
2018-01-23 18:06:26,429 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'reactor_reactor', 'filter_filter_top', '10']
2018-01-23 18:06:26,461 ; DEBUG ; chempiler ; MainThread ; ['S', 'SET_STIR_RPM', 'filter_filter_top', '400']
2018-01-23 18:06:26,508 ; DEBUG ; chempiler ; MainThread ; ['S', 'START_STIR', 'filter_filter_top']
2018-01-23 18:06:26,633 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_methyl_propiolate', 'filter_filter_top', '3.21', '20']
2018-01-23 18:06:26,664 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_water', 'filter_filter_top', '5']
2018-01-23 18:06:26,726 ; DEBUG ; chempiler ; MainThread ; ['S', 'SET_CHILLER', 'filter_filter_top', '65']
2018-01-23 18:06:26,773 ; DEBUG ; chempiler ; MainThread ; ['S', 'START_CHILLER', 'filter_filter_top']
2018-01-23 18:06:26,789 ; DEBUG ; chempiler ; MainThread ; ['S', 'WAIT', '60']
2018-01-23 18:06:26,898 ; DEBUG ; chempiler ; MainThread ; ['S', 'SET_CHILLER', 'filter_filter_top', '25']
2018-01-23 18:06:26,945 ; DEBUG ; chempiler ; MainThread ; ['S', 'WAIT', '60']
2018-01-23 18:06:26,976 ; DEBUG ; chempiler ; MainThread ; ['S', 'STOP_CHILLER', 'filter_filter_top']
2018-01-23 18:06:26,992 ; DEBUG ; chempiler ; MainThread ; ['S', 'STOP_STIR', 'filter_filter_top']
2018-01-23 18:06:27,023 ; DEBUG ; chempiler ; MainThread ; ['S', 'BREAKPOINT']
2018-01-23 18:06:27,054 ; DEBUG ; chempiler ; MainThread ; ['S', 'SET_STIR_RPM', 'filter_filter_top', '400']
2018-01-23 18:06:27,070 ; DEBUG ; chempiler ; MainThread ; ['S', 'START_STIR', 'filter_filter_top']
2018-01-23 18:06:27,086 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_ammonia', 'filter_filter_top', '10', '20']
2018-01-23 18:06:27,101 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_water', 'filter_filter_top', '5']
2018-01-23 18:06:27,133 ; DEBUG ; chempiler ; MainThread ; ['S', 'SET_CHILLER', 'filter_filter_top', '75']
2018-01-23 18:06:27,273 ; DEBUG ; chempiler ; MainThread ; ['S', 'START_CHILLER', 'filter_filter_top']
2018-01-23 18:06:27,320 ; DEBUG ; chempiler ; MainThread ; ['S', 'WAIT', '60']
2018-01-23 18:06:27,351 ; DEBUG ; chempiler ; MainThread ; ['S', 'SET_CHILLER', 'filter_filter_top', '25']
2018-01-23 18:06:27,383 ; DEBUG ; chempiler ; MainThread ; ['S', 'WAIT', '60']
2018-01-23 18:06:27,414 ; DEBUG ; chempiler ; MainThread ; ['S', 'STOP_CHILLER', 'filter_filter_top']
2018-01-23 18:06:27,445 ; DEBUG ; chempiler ; MainThread ; ['S', 'STOP_STIR', 'filter_filter_top']
2018-01-23 18:06:27,492 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_filter_bottom', 'waste_solvents', '20']
2018-01-23 18:06:27,539 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_water', 'filter_filter_top', '10']
2018-01-23 18:06:27,633 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_filter_bottom', 'waste_solvents', '20']
2018-01-23 18:06:27,695 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_water', 'filter_filter_top', '10']
2018-01-23 18:06:27,742 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_filter_bottom', 'waste_solvents', '20']
2018-01-23 18:06:27,773 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_water', 'filter_filter_top', '10']
2018-01-23 18:06:27,789 ; DEBUG ; chempiler ; MainThread ; ['S', 'MOVE', 'flask_filter_bottom', 'waste_solvents', '20']
2018-01-23 18:06:27,804 ; DEBUG ; chempiler ; MainThread ; ['S', 'BREAKPOINT']
